Namn;Ägartyp;Antal P-platser;Avgiftsbelagd tid - vardag;Avgiftsbelagd tid - vardag före helg;Avgiftsbelagd tid - helg;Taxa - avgiftsbelagd tid;Taxa - övrig tid;Tele P nr;EasyPark nr;Status;geo_shape;geo_point_2d
Sockerbruksgatan;hbg;99;9:00-18:00;(9:00-15:00);;5;;;;aktiv;"{""type"": ""Point"", ""coordinates"": [12.6978236147279, 56.03738188919524]}";56.0373818892,12.6978236147
Nedre Holländaregatan;hbg;10;9:00-18:00;(9:00-15:00);;10;;9555;4056;aktiv;"{""type"": ""Point"", ""coordinates"": [12.701415398787875, 56.03962250233818]}";56.0396225023,12.7014153988
Bryggaregatan v.s;hbg;18;9:00-18:00;(9:00-15:00);;5;;9512;4012;aktiv;"{""type"": ""Point"", ""coordinates"": [12.704402436699331, 56.036105725198325]}";56.0361057252,12.7044024367
Bastionen;hbg;49;9:00-18:00;(9:00-15:00);;10;;9501;4001;aktiv;"{""type"": ""Point"", ""coordinates"": [12.700636628518579, 56.04432428523689]}";56.0443242852,12.7006366285
Olympia;hbg;100;8:00-17:00;;;5;;9521;4104;aktiv;"{""type"": ""Point"", ""coordinates"": [12.712094558551035, 56.05059280728134]}";56.0505928073,12.7120945586
Furutorpsgatan;hbg;8;9:00-18:00;(9:00-15:00);;5;;9595;4095;aktiv;"{""type"": ""Point"", ""coordinates"": [12.706377931625768, 56.037806030862434]}";56.0378060309,12.7063779316
Kungsgatan;hbg;24;9:00-22:00;(9:00-22:00);9:00-22:00;10;;9600;4105;aktiv;"{""type"": ""Point"", ""coordinates"": [12.687571215520414, 56.05066153556729]}";56.0506615356,12.6875712155
Karl Johans gata;hbg;24;9:00-18:00;(9:00-15:00);;5;;9543;4044;aktiv;"{""type"": ""Point"", ""coordinates"": [12.684545557937236, 56.05344375475645]}";56.0534437548,12.6845455579
Glasbruket;hbg;;9:00-20:00;(9:00-15:00);;10;;9532;4032;aktiv;"{""type"": ""Point"", ""coordinates"": [12.700145676665628, 56.039228104505426]}";56.0392281045,12.7001456767
Bryggeriet;hbg;36;9:00-18:00;(9:00-15:00);;5;;9510;4010;aktiv;"{""type"": ""Point"", ""coordinates"": [12.706958563021256, 56.03658416823659]}";56.0365841682,12.706958563
