KATEGORI;NAMN;ADRESS;HEMSIDA;Kategori webb;Exportdatum;geo_shape;geo_point_2d
Butiker;Borgmans Fisk Eftr;Kopparmöllegatan 17;http://www.borgmansfisk.net/;Butiker;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.697555275504326, 56.053461630434576]}";56.0534616304,12.6975552755
Butiker;Polshop;Södergatan 16;http://www.polshop.se/;Butiker;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.701065141633059, 56.04210446984029]}";56.0421044698,12.7010651416
Butiker;Saras Karameller;Södra Storgatan 26;;Butiker;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.69988316539802, 56.044508752565136]}";56.0445087526,12.6998831654
Butiker;Tonys Candy;;;Butiker;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.685365282620126, 56.04233527402552]}";56.042335274,12.6853652826
Butiker;Örebrokiosken;Örebrogatan 32;;Butiker;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.72124069536007, 56.044619336666074]}";56.0446193367,12.7212406954
Caféer;American Spin Cream;Marknadsvägen 9;https://www.americanspincream.se/vala.php;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.75681637540675, 56.09205529999136]}";56.0920553,12.7568163754
Caféer;Bagelshopen;Drottninggatan 11;http://www.bagelshopen.se/;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.69124574663357, 56.047428182573114]}";56.0474281826,12.6912457466
Caféer;Berga Utbildning;Sabelgatan 8;http://www.rsnv.se/utbildningar/;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.731624573939614, 56.083813638713266]}";56.0838136387,12.7316245739
Caféer;Café Birka / Rönnowska Skolan;Bredgatan 22;https://ronnowskaskolan.helsingborg.se/;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.70093719057766, 56.03345137448499]}";56.0334513745,12.7009371906
Caféer;Fitness Kitchen/ Studio Aktiverum;Södra Tvärgången 3;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.70896304597633, 56.06510736554483]}";56.0651073655,12.708963046
Caféer;Fleninge Församlingshem;Magnerupsvägen 15;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.789174815077741, 56.11181118229696]}";56.1118111823,12.7891748151
Caféer;FNF Athletic Center;Ängelholmsvägen 27;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.706356642177592, 56.06083838584586]}";56.0608383858,12.7063566422
Caféer;Kullavägens Bk;Rundgången 15;https://www.svenskalag.se/kullavagensbk;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.711653714491947, 56.06583355760095]}";56.0658335576,12.7116537145
Caféer;Svensgårds församlingshem;Björkavägen 36;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.755075665072079, 56.101654741719585]}";56.1016547417,12.7550756651
Caféer;Södra Strandkiosken Fria Bad;Gröningen Norra 21;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.681725401033313, 56.05686433744307]}";56.0568643374,12.681725401
