OBJECTID;E-område;E-områdeskod (utan 0);D-område;C-område;C-områdeskod;B-område;B-områdeskod;SHAPE.STArea();SHAPE.STLength();geo_shape;geo_point_2d
4;001130;1130;00113;Pålsjö skog;0011;Norr;001;21062.759216308594;655.9823525287152;"{""type"": ""Polygon"", ""coordinates"": [[[12.681537204451763, 56.0686493870443], [12.68370360158217, 56.06764098876471], [12.68376397112473, 56.066802219582385], [12.6838543690782, 56.06657216992039], [12.68354912655194, 56.06658930013742], [12.681822818616489, 56.0674434803697], [12.680567106360439, 56.067994902122955], [12.680559688281368, 56.06808754295576], [12.680625694636007, 56.06815542391067], [12.6809989929145, 56.068419238678494], [12.681172314471867, 56.068502489247365], [12.681509941409363, 56.06863463813331], [12.681537204451763, 56.0686493870443]]]}";56.0676866129,12.6823508361
7;001220;1220;00122;Pålsjö bad - Sofiero;0012;Norr;001;48296.92443847656;1263.376083522542;"{""type"": ""Polygon"", ""coordinates"": [[[12.661211760212481, 56.08056657675145], [12.661211689251914, 56.080566737938064], [12.663205954053053, 56.08080458571976], [12.663381827767367, 56.08060512881033], [12.663706851806921, 56.08024483371352], [12.663808450996235, 56.080105965866665], [12.663898877384971, 56.07977833695262], [12.664496155060572, 56.07873747065382], [12.665976188401617, 56.076300657612144], [12.665829941147546, 56.07627896695593], [12.665411319464559, 56.07672839705581], [12.665345475911355, 56.07678000028116], [12.665262954259571, 56.07681858415192], [12.665030576809576, 56.07687771936754], [12.664726881428257, 56.076985599789666], [12.664552834827461, 56.07708960561266], [12.664538431292335, 56.077101148292186], [12.66430487558943, 56.07728835175155], [12.664129632838884, 56.077462037096595], [12.663987815095444, 56.07770773844166], [12.663761018597107, 56.07790609688262], [12.663721795691446, 56.078004646730264], [12.663615935346797, 56.07814147378815], [12.663377350564803, 56.078274832687676], [12.66269066230053, 56.0785394726788], [12.66233609849225, 56.07868386273713], [12.662174453823356, 56.078818756252424], [12.661906765271823, 56.07908752795157], [12.66165850586538, 56.079718640811976], [12.661736288655886, 56.07972093832616], [12.661858603597532, 56.07972467877404], [12.661645526395882, 56.080001877113006], [12.661211760212481, 56.08056657675145]]]}";56.0790261499,12.6634044122
12;001270;1270;00127;Pålsjö bad - Sofiero;0012;Norr;001;29276.615783691406;901.9775076325632;"{""type"": ""Polygon"", ""coordinates"": [[[12.672910041537524, 56.06939039442727], [12.673926214869482, 56.06977377023599], [12.67393092442662, 56.06977557112654], [12.674479164498429, 56.069657978041484], [12.675676300269298, 56.06844404930297], [12.676530744139797, 56.06739108194424], [12.677169553397384, 56.066912571739245], [12.676288963731858, 56.06660856345336], [12.675952632817715, 56.06688101198801], [12.674664725764169, 56.067963573501736], [12.673794843526805, 56.068729579360266], [12.672910041537524, 56.06939039442727]]]}";56.0683070764,12.6750269217
22;001400;1400;00140;Hamilton;0014;Norr;001;3252.1680908203125;236.06963743429196;"{""type"": ""Polygon"", ""coordinates"": [[[12.683376885526156, 56.059336577491464], [12.683899900294767, 56.058880043798865], [12.682716175003497, 56.05865195530253], [12.682739052086566, 56.05875612278741], [12.68286564537642, 56.059205475491034], [12.683165662497801, 56.059305208186316], [12.683376885526156, 56.059336577491464]]]}";56.0589904547,12.6832299956
25;001430;1430;00143;Hamilton;0014;Norr;001;111686.4545288086;2320.735006434522;"{""type"": ""Polygon"", ""coordinates"": [[[12.684233322146937, 56.055723532895776], [12.68362049022206, 56.05557361940003], [12.684006065463969, 56.05469467789448], [12.684037764460776, 56.054632707765855], [12.684439415823434, 56.05384785473242], [12.684761962214145, 56.05321753643078], [12.685251689451524, 56.05237253775209], [12.685443190437194, 56.05214898303119], [12.6857977301585, 56.05191716286027], [12.68474291696119, 56.051458406136746], [12.68439282268763, 56.051375878124325], [12.68351575935331, 56.05130371353028], [12.683515323261716, 56.05130635124086], [12.68330155300897, 56.052364408369705], [12.683245600127718, 56.052647237438535], [12.683128763276263, 56.052959096260395], [12.68276423025107, 56.05392225151339], [12.682588628534688, 56.054344931002504], [12.682467252339775, 56.05443785918454], [12.68146874114256, 56.054769398735495], [12.681410485849309, 56.054800412089996], [12.681302534131458, 56.05497801702046], [12.681177634791355, 56.05496487464835], [12.681155344573783, 56.05500935640588], [12.681255155450094, 56.055026410022634], [12.681064812054428, 56.05537408289033], [12.680740935641701, 56.05531772938757], [12.680697742099643, 56.05539412768723], [12.680762023677323, 56.05540532334817], [12.680566924494501, 56.055751401081], [12.680479016546228, 56.05573581810229], [12.68045274074761, 56.055777821286746], [12.68087410861309, 56.05585428576116], [12.680915197315636, 56.05588318285661], [12.681031896909607, 56.055910659617105], [12.680968195439656, 56.05606183755839], [12.680847072810767, 56.0562140714301], [12.680720184432225, 56.05632068522283], [12.680677486331797, 56.05634087986117], [12.680189870534045, 56.0562626903438], [12.680029434641009, 56.05624794556907], [12.68001590590355, 56.05626264840602], [12.68019533495395, 56.056303296589206], [12.680990491060994, 56.056436788223664], [12.681035532478766, 56.056455454501695], [12.68107768432976, 56.056528368493765], [12.681114339564834, 56.056635250385526], [12.681179751339048, 56.05681880147362], [12.68118206489116, 56.05706103293165], [12.681173288364581, 56.057554523231744], [12.681124860490236, 56.05783951178898], [12.68109328268374, 56.05851597678895], [12.680996017263075, 56.05863461617008], [12.68094426206654, 56.0586614510832], [12.680825231304917, 56.058648140771695], [12.680598563527694, 56.05861866744005], [12.680374234444205, 56.05858906551539], [12.680335774986549, 56.058600468243945], [12.680320413873083, 56.058619488078705], [12.682043384159536, 56.058858278866055], [12.682250266619633, 56.05914684561986], [12.68267002221976, 56.05918683674931], [12.68286564537642, 56.059205475491034], [12.682739052086566, 56.05875612278741], [12.682716175003497, 56.05865195530253], [12.682648427507992, 56.05834323991908], [12.682943534023373, 56.05779304045032], [12.682944633739943, 56.057791287334936], [12.684233322146937, 56.055723532895776]]]}";56.0552425142,12.6829059762
30;001540;1540;00154;Margaretaplatsen;0015;Norr;001;5091.996276855469;312.25990609883434;"{""type"": ""Polygon"", ""coordinates"": [[[12.684820876051507, 56.054781319034426], [12.684037764460776, 56.054632707765855], [12.684006065463969, 56.05469467789448], [12.68362049022206, 56.05557361940003], [12.684233322146937, 56.055723532895776], [12.684815962223135, 56.054788579647536], [12.684820876051507, 56.054781319034426]]]}";56.0551606215,12.6841884134
36;001620;1620;00162;S:t Jörgens skola;0016;Norr;001;12670.083618164062;567.385105462178;"{""type"": ""Polygon"", ""coordinates"": [[[12.689010285226932, 56.05155884216697], [12.690010764864182, 56.050412371068255], [12.689585820717925, 56.050242999289416], [12.689363296785272, 56.05031917489888], [12.689172807816018, 56.05042440055125], [12.688738658232465, 56.05088578008816], [12.687404499942676, 56.05184571471848], [12.688384822633003, 56.05227552287577], [12.689010285226932, 56.05155884216697]]]}";56.0512893429,12.6887346791
39;002000;2000;00200;Randersgatan;0020;Tågaborg N;002;18134.614318847656;585.9533591591307;"{""type"": ""Polygon"", ""coordinates"": [[[12.683969478423817, 56.06331893388727], [12.683057941367624, 56.06339822052083], [12.681615747645148, 56.063485803047236], [12.681655958641414, 56.06356669748578], [12.681715070158674, 56.06368089524521], [12.68180317842185, 56.06381691287977], [12.681916845822977, 56.0639697068261], [12.682068234616954, 56.06413546857001], [12.682250572941923, 56.06430413862222], [12.682376832627586, 56.06441025733296], [12.68258885707448, 56.06456111539374], [12.682758285713884, 56.06466813031482], [12.682849154007794, 56.06472085211853], [12.682962187097818, 56.06478644749272], [12.683168386665441, 56.064891046670496], [12.683345350191662, 56.06497032156431], [12.6835379226826, 56.065052735225834], [12.683792012449757, 56.065142004157984], [12.683969478423817, 56.06331893388727]]]}";56.0640590212,12.683024198
41;002020;2020;00202;Randersgatan;0020;Tågaborg N;002;15478.828430175781;553.3090672794264;"{""type"": ""Polygon"", ""coordinates"": [[[12.686276814790439, 56.06176700288365], [12.684815295274468, 56.06144440419658], [12.684704585164553, 56.06175150840962], [12.684405586900551, 56.06258092402826], [12.684145063143546, 56.06330366721711], [12.68419899587822, 56.063298967040474], [12.685176933273711, 56.063238271135454], [12.685237297814675, 56.06323452908699], [12.685825232670423, 56.06240450293482], [12.686276814790439, 56.06176700288365]]]}";56.0623760321,12.6851274792
42;002030;2030;00203;Randersgatan;0020;Tågaborg N;002;12715.423095703125;448.83463268729525;"{""type"": ""Polygon"", ""coordinates"": [[[12.686620197333474, 56.06128225682336], [12.686622889247435, 56.06127380491263], [12.68663489765045, 56.06123626909903], [12.686831049152762, 56.06062262719285], [12.685397584742375, 56.06047946588993], [12.685187264757644, 56.060443193101534], [12.684815295274468, 56.06144440419658], [12.686276814790439, 56.06176700288365], [12.686620197333474, 56.06128225682336]]]}";56.0610746145,12.6858261485
